    PID CMD
   1018 avahi-daemon: chroot helper
    960 avahi-daemon: running [arsany.local]
   5836 bash
   1104 [card1-crtc0]
   1105 [card1-crtc1]
   1106 [card1-crtc2]
   1107 [card1-crtc3]
   1108 [card1-crtc4]
   1311 [card2-crtc0]
   1312 [card2-crtc1]
   1313 [card2-crtc2]
   1314 [card2-crtc3]
     20 [cpuhp/0]
     63 [cpuhp/1]
     45 [cpuhp/10]
     93 [cpuhp/11]
     51 [cpuhp/12]
     99 [cpuhp/13]
     57 [cpuhp/14]
    105 [cpuhp/15]
     21 [cpuhp/2]
     69 [cpuhp/3]
     27 [cpuhp/4]
     75 [cpuhp/5]
     33 [cpuhp/6]
     81 [cpuhp/7]
     39 [cpuhp/8]
     87 [cpuhp/9]
    962 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    146 [ecryptfs-kthread]
   2406 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1001/doc
   2297 gdm-session-worker [pam/gdm-password]
   3543 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     64 [idle_inject/1]
     46 [idle_inject/10]
     94 [idle_inject/11]
     52 [idle_inject/12]
    100 [idle_inject/13]
     58 [idle_inject/14]
    106 [idle_inject/15]
     22 [idle_inject/2]
     70 [idle_inject/3]
     28 [idle_inject/4]
     76 [idle_inject/5]
     34 [idle_inject/6]
     82 [idle_inject/7]
     40 [idle_inject/8]
     88 [idle_inject/9]
    142 [irq/25-AMD-Vi0-Evt]
    143 [irq/26-AMD-Vi0-PPR]
    144 [irq/27-AMD-Vi0-GA]
    149 [irq/28-pciehp]
    316 [irq/47-ELAN0515:00]
    128 [irq/9-acpi]
    364 [jbd2/dm-0-8]
    772 [jbd2/nvme0n1p2-8]
    116 [kauditd]
    121 [kcompactd0]
    113 [kdevtmpfs]
    124 [khugepaged]
    117 [khungtaskd]
   1607 [krfcommd]
    122 [ksmd]
     16 [ksoftirqd/0]
     66 [ksoftirqd/1]
     48 [ksoftirqd/10]
     96 [ksoftirqd/11]
     54 [ksoftirqd/12]
    102 [ksoftirqd/13]
     60 [ksoftirqd/14]
    108 [ksoftirqd/15]
     24 [ksoftirqd/2]
     72 [ksoftirqd/3]
     30 [ksoftirqd/4]
     78 [ksoftirqd/5]
     36 [ksoftirqd/6]
     84 [ksoftirqd/7]
     42 [ksoftirqd/8]
     90 [ksoftirqd/9]
    145 [kswapd0]
      2 [kthreadd]
   8002 [kworker/0:0-events]
     10 [kworker/0:0H-events_highpri]
   8520 [kworker/0:1-events]
    260 [kworker/0:1H-kblockd]
   7645 [kworker/0:2-mm_percpu_wq]
     49 [kworker/10:0-cgroup_destroy]
     50 [kworker/10:0H-events_highpri]
    140 [kworker/10:1H-kblockd]
   7957 [kworker/10:1-mm_percpu_wq]
   8555 [kworker/10:2]
     68 [kworker/1:0H-events_highpri]
   2739 [kworker/11:0-events]
     98 [kworker/11:0H-events_highpri]
   8476 [kworker/11:1]
    263 [kworker/11:1H-kblockd]
    774 [kworker/11:3-inet_frag_wq]
    130 [kworker/1:1-events]
    265 [kworker/1:1H-kblockd]
     56 [kworker/12:0H-events_highpri]
   6862 [kworker/12:0-mm_percpu_wq]
   8526 [kworker/12:1-events]
    257 [kworker/12:1H-kblockd]
   8142 [kworker/12:2-events]
   7984 [kworker/1:2-mm_percpu_wq]
   8395 [kworker/13:0-events]
    104 [kworker/13:0H-events_highpri]
    274 [kworker/13:1H-kblockd]
    147 [kworker/13:1-mm_percpu_wq]
     62 [kworker/14:0H-events_highpri]
   2762 [kworker/14:0-kdmflush/252:0]
    256 [kworker/14:1H-kblockd]
   2195 [kworker/14:3]
   8192 [kworker/15:0]
    110 [kworker/15:0H-kblockd]
    267 [kworker/15:1H]
    159 [kworker/15:1-mm_percpu_wq]
     26 [kworker/2:0H-events_highpri]
   5359 [kworker/2:0-mm_percpu_wq]
    262 [kworker/2:1H-kblockd]
   8468 [kworker/2:2-inet_frag_wq]
   8095 [kworker/3:0-events]
     74 [kworker/3:0H-events_highpri]
   8658 [kworker/3:1-events]
    261 [kworker/3:1H-kblockd]
   8413 [kworker/3:2-events]
     32 [kworker/4:0H-events_highpri]
   8505 [kworker/4:0-mm_percpu_wq]
    214 [kworker/4:1H-kblockd]
   8066 [kworker/4:1-mm_percpu_wq]
   7169 [kworker/4:2-mm_percpu_wq]
   5582 [kworker/5:0-events]
     80 [kworker/5:0H-events_highpri]
    266 [kworker/5:1H-kblockd]
   8140 [kworker/5:2]
     38 [kworker/6:0H-events_highpri]
   8467 [kworker/6:0-mm_percpu_wq]
    264 [kworker/6:1H-kblockd]
   6252 [kworker/6:1-mm_percpu_wq]
     86 [kworker/7:0H-events_highpri]
    155 [kworker/7:1-events_freezable]
    217 [kworker/7:1H-kblockd]
   8189 [kworker/7:3-events]
     44 [kworker/8:0H-events_highpri]
    165 [kworker/8:1H-kblockd]
   8368 [kworker/8:1-mm_percpu_wq]
   4892 [kworker/8:3-events]
     92 [kworker/9:0H-events_highpri]
    156 [kworker/9:1-events]
    258 [kworker/9:1H-kblockd]
   6915 [kworker/9:2]
    160 [kworker/R-acpi_]
    785 [kworker/R-amdgp]
   1180 [kworker/R-amdgp]
   1307 [kworker/R-amdgp]
   1308 [kworker/R-amdgp]
    132 [kworker/R-ata_s]
    127 [kworker/R-blkcg]
    670 [kworker/R-cfg80]
    190 [kworker/R-charg]
    693 [kworker/R-crypt]
    137 [kworker/R-devfr]
   1309 [kworker/R-dm_vb]
    135 [kworker/R-edac-]
    365 [kworker/R-ext4-]
    773 [kworker/R-ext4-]
    114 [kworker/R-inet_]
    163 [kworker/R-ipv6_]
    126 [kworker/R-kbloc]
    326 [kworker/R-kdmfl]
    125 [kworker/R-kinte]
    171 [kworker/R-kstrp]
    148 [kworker/R-kthro]
    133 [kworker/R-md]
    134 [kworker/R-md_bi]
    162 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
    312 [kworker/R-nvme-]
    313 [kworker/R-nvme-]
    314 [kworker/R-nvme-]
    315 [kworker/R-nvme-]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
    308 [kworker/R-scsi_]
    310 [kworker/R-scsi_]
      6 [kworker/R-slub_]
    131 [kworker/R-tpm_d]
    859 [kworker/R-ttm]
   1181 [kworker/R-ttm]
    120 [kworker/R-write]
   8521 [kworker/u32:0]
   8170 [kworker/u32:2-gfx_low]
   7148 [kworker/u32:3-sdma0]
   8645 [kworker/u33:0-events_power_efficient]
   6337 [kworker/u33:1-events_power_efficient]
   7020 [kworker/u33:2-events_unbound]
   7372 [kworker/u33:3-events_power_efficient]
   8586 [kworker/u34:0-flush-252:0]
   7516 [kworker/u34:1-events_unbound]
   8256 [kworker/u34:2+events_unbound]
    565 [kworker/u34:6-events_unbound]
    173 [kworker/u35:0-hci0]
    735 [kworker/u35:2-hci0]
   7813 [kworker/u36:2-ttm]
   7814 [kworker/u36:3-ttm]
   8587 [kworker/u37:0-ttm]
   8588 [kworker/u37:1-ttm]
   3521 [kworker/u37:2-ttm]
   3527 [kworker/u37:3-ttm]
   8589 [kworker/u37:4-ttm]
   8591 [kworker/u37:5-ttm]
   8593 [kworker/u37:6-ttm]
   8595 [kworker/u37:7]
     18 [migration/0]
     65 [migration/1]
     47 [migration/10]
     95 [migration/11]
     53 [migration/12]
    101 [migration/13]
     59 [migration/14]
    107 [migration/15]
     23 [migration/2]
     71 [migration/3]
     29 [migration/4]
     77 [migration/5]
     35 [migration/6]
     83 [migration/7]
     41 [migration/8]
     89 [migration/9]
    781 [mt76-tx phy0]
    751 [napi/phy0-8194]
    752 [napi/phy0-8195]
    753 [napi/phy0-8196]
    118 [oom_reaper]
      3 [pool_workqueue_release]
   8717 ps -e -o pid,cmd --sort=cmd
    530 [psimon]
   1492 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
